Symptoms,Disease
Difficulty with social interaction preference for routines sensitivity to lights or sounds repetitive behaviors limited eye contact,Autism
pain foul smell in infected ulcers swelling dark or dead tissue,Skin Ulcer
itching or tingling before hair loss loss Sudden patchy hair loss on the scalp or other body parts smooth round bald patches unpredictable episodes of regrowth,Alopecia Areata
lower back pain headache diarrhea fatigue,Dysmenorrhea
cloudy or foul-smelling urine painful urination sharp pain radiating to the lower abdomen or groin frequent urge to urinate vomiting,Kidney Stones
lower back pain skin rashes Joint pain redness or swelling of eyes heel pain swelling,Reactive Arthritis
unexplained weight loss jaundice loss of appetite Upper abdominal pain,Liver Tumours
or pain that comes sharp or dull pain in the abdomen indigestion goes depending on the cause nausea constipation vomiting diarrhea gas,Stomach Ache and Abdominal Pain
Painless or painful growing lump legs,Soft Tissue Sarcomas in Teenagers and Young Adults
vaginal bleeding during pregnancy abdominal cramps,Recurrent Miscarriage
slow wound healing hair loss Fatigue muscle weakness,Vitamin D Deficiency
muscle cramps vomiting,Cholera
stiffness fatigue warmth around joints reduced range of motion symptoms worsening in the morning or after inactivity,Arthritis
abdominal cramps Repeated pregnancy losses before 20 weeks emotional distress such as anxiety or grief vaginal bleeding during pregnancy,Recurrent Miscarriage
discomfort when touching or pulling the ear fluid discharge,Otitis Externa (Swimmer's Ear)
in some cases sudden severe pain if the cyst ruptures or twists Lower abdominal or pelvic pain fullness in the abdomen frequent urination bloating painful periods pain during intercourse,Ovarian Cyst
abdominal swelling or discomfort fever night sweats fatigue frequent infections,Non-Hodgkin Lymphoma
discomfort during lifting or shifting motions localized tenderness over the bicipital groove pain during movement,Bicipital Tendonitis (Right Shoulder)
Weak brittle bones loss of height over time fractures occurring easily from minor falls or injuries,Osteoporosis
feeding problems Low birth weight severe developmental delays growth restriction clenched fists with overlapping fingers,Edwards’ Syndrome
breathing difficulty chest congestion chest discomfort mucus production Persistent cough wheezing fever fatigue,Lower Respiratory Tract Infection (LRTI)
swelling in legs or ankles loss of appetite reduced urine output muscle cramps,Chronic Kidney Disease
cloudy or foul-smelling urine sometimes fever or blood in urine Burning sensation during urination lower abdominal pain,Urinary Tract Infection (UTI)
visible holes or pits in teeth brown or black staining,Cavities
stiffness pain worsening at night gradual restriction of shoulder movement difficulty lifting the arm,Frozen Shoulder
weakness mild right upper abdominal pain,Non-Alcoholic Fatty Liver Disease (NAFLD)
nausea vomiting,Appendicitis in Children
fatigue abdominal swelling or discomfort frequent infections fever chest pain or cough,Non-Hodgkin Lymphoma
Sharp pain during or after bowel movements burning sensation a visible small tear near the anus bright red blood on toilet paper or stool,Anal Fissures
blurred vision dry mouth sometimes fruity-smelling breath or confusion in severe cases headache nausea Increased thirst,Hyperglycaemia
muscle aches sometimes vomiting or diarrhea runny or stuffy nose headache chills dry cough High fever,Influenza
a feeling of something stuck in the throat sore throat metallic taste difficulty swallowing,Tonsil Stones
mild abdominal cramping Brown or dark vaginal discharge sometimes mild odor depending on the cause light bleeding at the start or end of a period,Brown Discharge
skin dimpling lumps in the underarm area swelling nipple discharge Breast lump redness breast pain change in breast size or shape,Breast Cancer
vision problems fatigue jaundice,Sickle Cell Disease
redness gradual enlargement of the patch,Tinea Corporis (Ringworm)
delayed growth in children fatigue jaundice feet Episodes of severe pain (pain crises) frequent infections anaemia,Sickle Cell Disease
Red swollen gums bleeding while brushing,Gum Disease
in severe cases severe pelvic tenderness irregular menstrual bleeding painful urination fever nausea abnormal vaginal discharge Lower abdominal or pelvic pain pain during intercourse,Pelvic Inflammatory Disease (PID)
sometimes vomiting or diarrhea runny or stuffy nose,Influenza
frequent infections fever night sweats abdominal swelling or discomfort fatigue Painless swollen lymph nodes chest pain or cough,Non-Hodgkin Lymphoma
heavy periods Pelvic pain bloating severe menstrual cramps fatigue pain during bowel movements or urination nausea,Endometriosis
personality or mood changes difficulty thinking or problem-solving confusion trouble with communication difficulty performing daily activities,Dementia
easy bruising unexplained weight loss night sweats enlarged spleen causing abdominal fullness Fatigue frequent infections swollen lymph nodes,Chronic Lymphocytic Leukaemia
sometimes associated hearing loss or clicking sounds in one or both ears humming,Tinnitus
Hoarse voice difficulty speaking,Laryngitis
non-refreshing sleep reduced productivity irritability Difficulty falling asleep frequent waking at night low energy,Insomnia
foamy urine reduced urine output high blood pressure Fatigue nausea swelling in legs or ankles loss of appetite difficulty concentrating,Chronic Kidney Disease
loss smooth round bald patches nail pitting or ridges itching or tingling before hair loss Sudden patchy hair loss on the scalp or other body parts,Alopecia Areata
daytime fatigue waking too early feeling unrefreshed after sleep,Insomnia
jaundice confusion Fatigue dark urine easy bruising leg swelling weight loss loss of appetite abdominal swelling,Cirrhosis
small white spots inside the mouth (Koplik spots) High fever cough a red blotchy skin rash that spreads from the face downward runny nose red watery eyes,Measles
painful swallowing red or swollen tonsils fever headache white patches on tonsils,Strep Throat
heightened startle response trouble concentrating difficulty sleeping,Post-Traumatic Stress Disorder (PTSD)
flushing eye irritation,Rosacea
non-healing sores scaly or crusty areas flesh-coloured or pink bumps itching Persistent skin lumps or patches ulcerated lesions,Skin Cancer (Non-Melanoma)
fatigue swelling in ankles or legs fainting spells,Pulmonary Hypertension
dry or scaly skin legs or whole body depending on the cause swelling itching fever in some cases blisters arms small bumps neck rashes that may appear on the face Red or pink patches,Skin Rashes in Children
sudden difficulty focusing Sudden vision loss in one eye eye pain in some cases,Eye Stroke
choking or gasping at night daytime sleepiness Loud snoring episodes of stopped breathing during sleep irritability dry mouth on waking morning headaches,Obstructive Sleep Apnoea (OSA)
sometimes associated hearing loss hissing Ringing intermittent or constant noise buzzing humming sleep disturbance,Tinnitus
nail pitting or ridges unpredictable episodes of regrowth itching or tingling before hair loss,Alopecia Areata
blood in stool weight loss,Inflammatory Bowel Disease (IBD)
visible holes or pits in teeth swelling or bad breath in severe cases,Cavities
breast tenderness dull ache in the lower abdomen or groin,Testicular Cancer
loose teeth persistent bad taste in the mouth bleeding while brushing Red swollen gums gum tenderness,Gum Disease
change in bowel habits urinary urgency or frequency persistent fatigue Persistent bloating or abdominal swelling unexplained weight loss pelvic or lower abdominal pain indigestion or back pain difficulty eating or feeling full quickly unusual vaginal bleeding,Ovarian Cancer
Blurred distance vision squinting to see far objects needing to sit closer to screens or books,Myopia (Nearsightedness)
Pain or fullness in the upper left abdomen anaemia symptoms enlarged spleen causing discomfort after eating small amounts,Spleen Problems and Spleen Removal (Splenectomy)
discomfort during movement slight tenderness along the spine,Muscular Back Strain
testicular firmness or size change dull ache in the groin or lower abdomen,Testicular Cancer: Teenagers and Young Adults
runny or stuffy nose dry cough fatigue sometimes vomiting or diarrhea muscle aches chills sore throat,Influenza
itching non-healing sores red patches Persistent skin lumps or patches commonly on sun-exposed areas,Skin Cancer (Non-Melanoma)
loss of appetite nausea,Chronic Kidney Disease
nausea upper abdominal pain dark urine jaundice loss of appetite,Liver Cancer
Lower abdominal or pelvic pain fullness in the abdomen painful periods pain during intercourse in some cases sudden severe pain if the cyst ruptures or twists,Ovarian Cyst
cough small white spots inside the mouth (Koplik spots) runny nose red watery eyes,Measles
normal leg movement Foot turned inward or outward at birth the foot returning toward normal position when gently moved flexible foot position,Positional Talipes in Children and Young People
swollen lymph nodes Painful blisters or sores on the lips tingling before outbreaks mouth fever or anus body aches during initial infection,Herpes
white or yellow calcified lumps on the tonsils difficulty swallowing sore throat metallic taste a feeling of something stuck in the throat,Tonsil Stones
urgency to pass stool vomiting fever,Dysentery
clammy skin rapid shallow breathing fainting lightheadedness,Low Blood Pressure (Hypotension)
indigestion Cramping nausea,Stomach Ache and Abdominal Pain
Sudden confusion disturbed sleep-wake cycle memory problems difficulty concentrating,Delirium
fatigue loss of appetite swelling in the abdomen jaundice,Liver Cancer
itchy patches of peeling or inflamed skin scaling hair loss in affected areas cracked skin discoloured or thickened nails Red circular rash with raised edges,Ringworm and Other Fungal Infections
sudden fluid buildup in the scrotum A painless lump or swelling in one testicle back pain in advanced cases feeling of heaviness in the scrotum,Testicular Cancer
red or inflamed patches thickened or cracked skin flare-ups triggered by allergens small bumps that may ooze or irritants Dry itchy skin stress,Atopic Eczema
loss of appetite dark circles around the eyes Abdominal swelling or mass fatigue bone pain changes in bowel or bladder habits high blood pressure weight loss fever,Neuroblastoma (Childhood Tumour)
Patau syndrome (Trisomy 13) Edwards syndrome (Trisomy 18),Prenatal Aneuploidy Screening (First Trimester)
fever fatigue,Lower Respiratory Tract Infection (LRTI)
vomiting nausea pale stools joint pain abdominal pain,Hepatitis
pelvic pain bleeding between periods,Gonorrhoea
Weak stooped posture,Osteoporosis
dizziness mood changes such as anxiety or depression memory problems sensitivity to light or noise sleep disturbances Headaches difficulty concentrating fatigue irritability,Post-Concussion Syndrome (PCS)
sensitivity to hot or cold foods Toothache pain when chewing,Cavities
vomiting tar-like stools weakness dizziness foul smell abdominal pain,Black Stools
flare-ups triggered by allergens red or inflamed patches thickened or cracked skin small bumps that may ooze Dry itchy skin stress,Atopic Eczema
Bright red rash with a sandpaper-like texture sore throat,Scarlet Fever
balance problems improves when bending forward difficulty walking numbness or tingling in legs or arms,Spinal Stenosis
vaginal bleeding during pregnancy Repeated pregnancy losses before 20 weeks emotional distress such as anxiety or grief abdominal cramps,Recurrent Miscarriage
especially when lifting the arm weakness in the shoulder,Subacromial Pain Syndrome
fever abdominal pain symptoms related to allergies,Eosinophilia
headache low-grade fever watery diarrhea body aches nausea,Norovirus
in some cases emotional distress or changes in behavior difficulty recalling recent events inability to form new memories Memory loss,Amnesia
passing large clots bleeding after sex or menopause prolonged menstrual bleeding very heavy periods,Abnormal Uterine Bleeding
or forehead cheeks thick yellow or green mucus blocked or runny nose cough,Sinusitis
High fever sometimes vomiting or diarrhea dry cough muscle aches sore throat chills fatigue,Influenza
flaky scales on the scalp causing itching or dandruff-like appearance cracked or dry skin that may bleed burning sensation silvery-white flakes,Skin and Scalp Psoriasis
frequent infections fatigue easy bruising or bleeding anaemia symptoms,Spleen Problems and Spleen Removal (Splenectomy)
cracking at the corners of the mouth White creamy patches on the tongue or inner cheeks difficulty swallowing redness soreness,Oral Thrush in Adults
Facial pain or pressure thick yellow or green mucus headache cough cheeks or forehead blocked or runny nose,Sinusitis
fatigue Often no symptoms until arteries are significantly narrowed; possible chest pain leg pain while walking in severe cases heart attack or stroke high blood pressure shortness of breath,Atherosclerosis
scaling cracked skin circular rash with raised edges Red itchy hair loss in affected areas discoloured or thickened nails patches of peeling or inflamed skin,Ringworm and Other Fungal Infections
discomfort during wrist or hand movements stiffness tenderness on the outer side of the elbow,Tennis Elbow
vomiting dizziness sound fatigue sensitivity to light usually on one side nausea,Migraine
Stomach pain nausea increased appetite fatigue in some cases vitamin or nutrient deficiencies diarrhea or constipation unexplained weight loss,Tapeworm Infection
Persistent nasal blockage numbness or tingling in the face double vision reduced sense of smell swelling around the eyes nosebleeds,Nasal and Sinus Cancer
gradual restriction of shoulder movement Shoulder pain difficulty lifting the arm stiffness,Frozen Shoulder
burning sensation blurred vision Redness of eyes,Conjunctivitis
very painful periods erectile dysfunction or ejaculation issues in males Inability to conceive after 12 months of regular unprotected intercourse reduced sexual desire,Infertility
in severe cases soft or weak bones mood changes frequent infections slow wound healing hair loss bone pain,Vitamin D Deficiency
sensitivity to light or noise dizziness difficulty concentrating irritability mood changes such as anxiety or depression,Post-Concussion Syndrome (PCS)
abdominal pain intermittent fever loss of appetite weight loss fatigue Chronic diarrhea,Inflammatory Bowel Disease (IBD)
bleeding after sex or menopause passing large clots very heavy periods Bleeding between periods prolonged menstrual bleeding irregular cycles,Abnormal Uterine Bleeding
Brown or dark vaginal discharge sometimes mild odor depending on the cause,Brown Discharge
muscle tightness lingering soreness after the cramp Sudden sharp pain in the calf or thigh,Leg Cramps
weakness frequent infections,Malnutrition
fever easy bruising Fatigue night sweats,Chronic Lymphocytic Leukaemia
sudden difficulty focusing blurred or dim vision seeing floaters or shadows visual field loss Sudden vision loss in one eye eye pain in some cases,Eye Stroke
fatigue after episodes uncontrolled jerking movements staring spells unusual sensations loss of awareness,Epilepsy
flexible foot position Foot turned inward or outward at birth no pain,Positional Talipes in Children and Young People
silvery-white flakes Red,Skin and Scalp Psoriasis
in some cases a noticeable pelvic mass unexplained weight changes fatigue urinary urgency or frequency abdominal swelling persistent bloating irregular periods back pain,Ovarian Cancer in Teenagers and Young Adults (Pre-Menopause)
heightened startle response negative mood changes trouble concentrating emotional numbness nightmares intrusive memories irritability avoidance of places or reminders of the trauma,Post-Traumatic Stress Disorder (PTSD)
delayed wound healing dry skin brittle nails dizziness,Malnutrition
or neck bad breath sensitivity to hot or cold Severe toothache pain that spreads to jaw foul taste in mouth ear fever swelling of gums or face,Dental Abscess
pain after fatty meals bloating,Gallstones
irritability low energy reduced productivity non-refreshing sleep frequent waking at night Difficulty falling asleep,Insomnia
especially in knees ankles swelling heel pain lower back pain Joint pain painful urination skin rashes,Reactive Arthritis
fever painful salivary glands (usually parotid) Swollen loss of appetite,Mumps
nausea trembling numbness or tingling sweating shortness of breath rapid heartbeat fear of losing control or dying chills or heat sensations,Panic Disorder
frequent waking at night Difficulty falling asleep difficulty concentrating non-refreshing sleep,Insomnia
Dry itchy skin flare-ups triggered by allergens stress small bumps that may ooze red or inflamed patches thickened or cracked skin or irritants,Atopic Eczema
high or very low fever extreme weakness confusion or disorientation clammy skin reduced urine output,Septic Shock
low energy irritability reduced productivity,Insomnia
reduced range of motion stiffness (especially in the morning) weakness fatigue warmth around joints symmetrical joint involvement Joint pain,Rheumatoid Arthritis
loss of appetite fatigue urgency to pass stool weight loss,Inflammatory Bowel Disease (IBD)
back or shoulder pain vomiting bloating sometimes jaundice nausea Sudden right upper abdominal pain,Gallstones
reduced flexibility swelling pain worsening with movement or after long activity Joint pain grinding or cracking sounds in joints,Osteoarthritis
fatigue muscle pain High fever nausea severe headache pain behind the eyes mild bleeding,Dengue
vomiting food getting stuck in the throat,Oesophageal Cancer
stiffness pain when gripping or lifting objects,Tennis Elbow
warmth around joints Joint pain fatigue swelling,Rheumatoid Arthritis
Red or pink patches on the skin small raised bumps mild itching,Eczema (Atopic Dermatitis)
frequent urge to urinate lower abdominal pain,Urinary Tract Infection (UTI)
Shortness of breath fainting swelling in legs or ankles fatigue rapid or irregular heartbeat reduced ability to exercise chest pain,Cardiomyopathy
pain during intercourse infertility Pelvic pain severe menstrual cramps heavy periods pain during bowel movements or urination fatigue nausea,Endometriosis
sudden changes in behavior Hallucinations difficulty concentrating confusion,Psychosis
twitching or jerking of legs during rest Uncomfortable sensations in the legs,Restless Legs Syndrome
sleep disturbances soft or slurred speech reduced facial expressions,Parkinson’s Disease
appetite or sleep changes poor concentration thoughts of self-harm,Psychotic Depression
stiff neck Severe headache rash in some cases nausea confusion seizures sensitivity to light drowsiness high fever vomiting,Meningitis
nausea or vomiting seizures loss of balance difficulty speaking,Brain Tumours
constipation back pain sometimes difficulty getting pregnant,Fibroids
or back shortness of breath palpitations jaw neck Chest pain or pressure fatigue swelling in legs or ankles,Heart Disease
fatigue reduced range of motion tenderness stiffness nail pitting morning stiffness,Psoriatic Arthritis
poor judgment mood changes trouble completing familiar tasks confusion about time or place,Alzheimer’s Disease
small white spots inside the mouth (Koplik spots) a red blotchy skin rash that spreads from the face downward cough red watery eyes High fever,Measles
Memory loss personality or mood changes difficulty thinking or problem-solving trouble with communication confusion difficulty performing daily activities poor judgment,Dementia
Redness of eyes watery or sticky discharge itching blurred vision swollen eyelids,Conjunctivitis
feet pale skin poor concentration dizziness cold hands brittle nails weakness,Iron Deficiency Anemia
watery eyes sore throat mild fever Runny/stuffy nose body aches fatigue post-nasal drip headache sneezing,Common cold
difficulty planning or solving problems Memory loss confusion about time or place withdrawal from social activities,Alzheimer’s Disease
wheezing chest congestion fatigue,Lower Respiratory Tract Infection (LRTI)
Painless sores on the genitals brain skin rashes on palms nerves in later stages damage to the heart fever mouth or anus soles,Syphilis
brown or black staining swelling or bad breath in severe cases pain when chewing visible holes or pits in teeth sensitivity to hot or cold foods,Cavities
pain during bowel movements or urination fatigue,Endometriosis
swelling of gums or face sensitivity to hot or cold,Dental Abscess
hallucinations disturbed sleep-wake cycle Sudden confusion agitation disorientation difficulty concentrating memory problems,Delirium
shortness of breath fainting Chest pain palpitations,Inherited Heart Conditions
thickened skin in severe cases flushing burning or stinging sensation eye irritation visible blood vessels Facial redness dry or sensitive skin acne-like bumps,Rosacea
swollen glands high fever nausea Bright red rash with a sandpaper-like texture strawberry tongue,Scarlet Fever
sweating High fever with chills,Malaria
frequent urination bloating painful periods Heavy menstrual bleeding sometimes difficulty getting pregnant constipation back pain pelvic pain or pressure,Fibroids
sweating muscle aches sometimes diarrhea or jaundice,Malaria
pain or pressure if the tumour presses on nerves or muscles swelling,Soft Tissue Sarcomas
unexplained weight loss fever frequent infections chest pain or cough,Non-Hodgkin Lymphoma
loss of balance Numbness burning or sharp pain in hands or feet tingling,Peripheral Neuropathy
muscle tightness temporary difficulty moving the leg lingering soreness after the cramp Sudden sharp pain in the calf or thigh,Leg Cramps
difficulty concentrating disturbed sleep-wake cycle,Delirium
mouth Painless sores on the genitals or anus fatigue skin rashes on palms brain swollen lymph nodes in later stages damage to the heart,Syphilis
facial numbness double vision,Nasopharyngeal Cancer
especially at night rash in finger webs wrists skin crusting in severe cases Intense itching genital area,Scabies
difficulty swallowing confusion weakness anxiety coma in later stages excessive salivation Fever paralysis headache fear of water,Rabies
persistent bad taste in the mouth loose teeth Red swollen gums bad breath gum tenderness,Gum Disease
vomiting nausea sometimes diarrhea or jaundice,Malaria
waking up frequently at night poor concentration Difficulty falling asleep,Insomnia
bright red blood on toilet paper or stool itching Sharp pain during or after bowel movements,Anal Fissures
Fatigue nausea vomiting loss of appetite joint pain yellowing of skin or eyes (jaundice) abdominal pain,Hepatitis
Bloating discomfort after consuming milk or dairy products nausea rumbling sounds in the stomach diarrhea gas,Lactose Intolerance
itchy patches of peeling or inflamed skin Red cracked skin discoloured or thickened nails hair loss in affected areas circular rash with raised edges,Ringworm and Other Fungal Infections
cold or clammy skin decreased urine output High fever or very low temperature rapid breathing low blood pressure rapid heartbeat confusion extreme weakness severe body pain,Sepsis
usually on one side sound visual disturbances fatigue,Migraine
hopelessness poor concentration low energy Severe persistent sadness appetite or sleep changes loss of interest thoughts of self-harm,Psychotic Depression
lumps or thickening in the mouth difficulty chewing or swallowing numbness,Mouth Cancer
Runny nose cough irritability in infants decreased appetite rapid or difficult breathing fever wheezing sometimes bluish lips or nails in severe cases sneezing,Respiratory Syncytial Virus (RSV)
poor concentration Fatigue dizziness,Iron Deficiency Anemia
urgency to pass stool fever nausea dehydration,Dysentery
squinting to see far objects difficulty driving or seeing classroom boards headaches needing to sit closer to screens or books Blurred distance vision eye strain,Myopia (Nearsightedness)
restlessness feeling a sense of impending danger or panic Excessive worry trouble sleeping rapid heartbeat racing thoughts irritability,Mental Anxiety Disorder
nausea chest pain rapid heartbeat,Panic Disorder
rash in some cases sensitivity to light confusion drowsiness,Meningitis
sweating fatigue High fever with chills vomiting nausea,Malaria
swelling around the eyes facial pain or pressure,Nasal and Sinus Cancer
vomiting Dark,Black Stools
sweating headache muscle aches High fever with chills vomiting nausea fatigue sometimes diarrhea or jaundice,Malaria
unexplained weight loss hoarseness Persistent cough,Lung Cancer
soft or slurred speech shuffling gait slow movements sleep disturbances reduced facial expressions mood changes such as depression or anxiety balance problems muscle stiffness fatigue Tremors at rest,Parkinson’s Disease
low energy Difficulty falling asleep difficulty concentrating reduced productivity irritability frequent waking at night daytime fatigue,Insomnia
fear of contamination distress when rituals are resisted need for order or symmetry compulsive behaviours like checking or cleaning excessive worries Repetitive intrusive thoughts,Obsessive Compulsive Disorder (OCD)
racing thoughts irritability Excessive worry rapid heartbeat difficulty concentrating restlessness feeling a sense of impending danger or panic sweating trembling,Mental Anxiety Disorder
Bone pain high calcium levels anemia frequent infections,Multiple Myeloma
red pelvic or testicular discomfort possible pain during ejaculation sometimes no symptoms at all,Blood in Semen
warmth pus-filled center,Boils on Skin
swelling or lumps near the anus Pain during bowel movements mucus discharge itching or irritation around the anus,Piles
sweating chills rapid breathing loss of appetite fatigue cough with phlegm High fever chest pain while breathing or coughing,Pneumonia
intermittent or constant noise buzzing hissing,Tinnitus
diarrhea Cramping pain in the lower abdomen headache fatigue pain that may radiate to the thighs,Dysmenorrhea
swelling reduced mobility in affected limb pain or pressure if the tumour presses on nerves or muscles,Soft Tissue Sarcomas
in severe cases heart attack or stroke shortness of breath fatigue high blood pressure leg pain while walking numbness or weakness,Atherosclerosis
changes in skin color or thickness persistent itching or burning sores that do not heal A lump or growth on the penis,Penile Cancer
uncontrolled jerking movements Recurrent seizures unusual sensations loss of awareness fatigue after episodes,Epilepsy
Fever stomach pain back or neck stiffness in severe cases paralysis of limbs or breathing muscles,Polio (Poliomyelitis)
red or flushed skin Headaches a feeling of fullness in the left upper abdomen numbness or tingling in hands,Polycythemia Vera
bloating after meals Persistent stomach pain indigestion difficulty swallowing fatigue vomiting blood in vomit or black stools unexplained weight loss nausea loss of appetite,Stomach Cancer
especially in knees ankles swelling,Reactive Arthritis
Frequent loose or watery stools bloating,Diarrhoea
sudden changes in behavior delusions withdrawal from social activities reduced emotional expression difficulty concentrating disorganized thinking Hallucinations,Psychosis
reduced range of motion warmth around joints symmetrical joint involvement swelling stiffness (especially in the morning),Rheumatoid Arthritis
Recurrent seizures temporary confusion,Epilepsy
persistent lower back or side pain abdominal mass fever loss of appetite,Kidney Cancer
runny or stuffy nose chills muscle aches headache dry cough sore throat,Influenza
dizziness Sharp abdominal or pelvic pain fainting shoulder pain vaginal bleeding symptoms of early pregnancy such as missed period or nausea,Ectopic Pregnancy
unexplained weight loss jaundice,Liver Tumours
breathlessness snoring or sleep problems Excess body fat low energy joint or back pain,Obesity in Adults
growth restriction feeding problems clenched fists with overlapping fingers severe developmental delays small head breathing difficulties heart defects Low birth weight,Edwards’ Syndrome
mild abdominal cramping light bleeding at the start or end of a period,Brown Discharge
fever nausea abdominal cramps bloating Watery diarrhoea vomiting,Gastroenteritis
rapid heartbeat muscle weakness tremors fatigue trouble sleeping irritability frequent bowel movements menstrual irregularities heat intolerance increased sweating Unintentional weight loss nervousness,Overactive Thyroid (Hyperthyroidism)
blurred vision sensitivity to light or noise Headaches memory problems mood changes such as anxiety or depression dizziness sleep disturbances irritability fatigue difficulty concentrating,Post-Concussion Syndrome (PCS)
painful periods bloating,Ovarian Cyst
red patches scaly or crusty areas Persistent skin lumps or patches or bleeding growths commonly on sun-exposed areas flesh-coloured or pink bumps itching non-healing sores,Skin Cancer (Non-Melanoma)
blood in urine back or side pain,Polycystic Kidney Disease
Joint pain weakness fatigue symmetrical joint involvement reduced range of motion stiffness (especially in the morning) swelling,Rheumatoid Arthritis
Persistent cough wheezing fatigue recurrent lung infections,Lung Cancer
swelling of hands shortness of breath frequent infections delayed growth in children anaemia fatigue,Sickle Cell Disease
fever in some cases arms legs dry or scaly skin neck or whole body depending on the cause swelling Red or pink patches rashes that may appear on the face,Skin Rashes in Children
cold or clammy skin High fever or very low temperature,Sepsis
anemia fever unexplained weight loss fatigue loss of appetite persistent lower back or side pain Blood in urine,Kidney Cancer
red or swollen tonsils Sudden severe sore throat white patches on tonsils swollen lymph nodes headache,Strep Throat
loss of appetite fever,Mumps
sometimes jaundice indigestion,Gallstones
fever sometimes bluish lips or nails in severe cases Runny nose irritability in infants decreased appetite sneezing wheezing rapid or difficult breathing,Respiratory Syncytial Virus (RSV)
gas diarrhea,Lactose Intolerance
fever swollen glands,Diphtheria
swelling tenderness warmth Red,Boils on Skin
burning or sharp pain in hands or feet tingling Numbness loss of balance muscle weakness sensitivity to touch in severe cases difficulty walking,Peripheral Neuropathy
Cough with mucus fever chest discomfort fatigue shortness of breath wheezing,Chest Infection
Loss of consciousness vomiting changes in behavior or alertness,Severe Head Injury
reduced sense of smell nosebleeds Persistent nasal blockage numbness or tingling in the face facial pain or pressure double vision swelling around the eyes loose teeth headaches,Nasal and Sinus Cancer
recurrent infections night sweats fatigue muscle aches sore throat swollen lymph nodes Fever,HIV
irritability negative mood changes trouble concentrating,Post-Traumatic Stress Disorder (PTSD)
wheezing coughing up blood hoarseness,Lung Cancer
nausea chest pain sweating rapid heartbeat,Panic Disorder
pain during overhead activities night pain when lying on the affected side weakness in the shoulder especially when lifting the arm reduced range of motion Shoulder pain,Subacromial Pain Syndrome
irritability in infants cough fever,Respiratory Syncytial Virus (RSV)
mild bleeding nausea fatigue,Dengue
temporary difficulty moving the leg lingering soreness after the cramp Sudden sharp pain in the calf or thigh muscle tightness,Leg Cramps
low blood pressure weakness rapid dehydration,Cholera
dull ache in the lower abdomen or groin back pain in advanced cases breast tenderness feeling of heaviness in the scrotum A painless lump or swelling in one testicle sudden fluid buildup in the scrotum,Testicular Cancer
circular rash with raised edges patches of peeling or inflamed skin discoloured or thickened nails,Ringworm and Other Fungal Infections
nausea Fatigue foamy urine reduced urine output loss of appetite difficulty concentrating swelling in legs or ankles high blood pressure,Chronic Kidney Disease
thickened wrists ankles bowed legs muscle weakness delayed growth dental problems Bone pain or tenderness,Rickets
cough with or without phlegm chest pain while breathing or coughing chills nausea rapid breathing shortness of breath Fever,Pneumonia
sometimes swelling in legs or abdomen shortness of breath palpitations,Pericarditis
frequent urination bloating in some cases sudden severe pain if the cyst ruptures or twists,Ovarian Cyst
vomiting confusion drowsiness seizures,Meningitis
mild abdominal cramping light bleeding at the start or end of a period Brown or dark vaginal discharge,Brown Discharge
tenderness around the tailbone discomfort when sitting Pain at the base of the spine swelling increased pain during activities like standing up from sitting or using the toilet,Tailbone Pain
Dark weakness dizziness foul smell in some cases signs of bleeding such as fatigue or shortness of breath,Black Stools
runny or stuffy nose chills,Influenza
large amounts of mucus fatigue recurrent lung infections wheezing Chronic cough shortness of breath chest tightness,Bronchiectasis
Mild breathing difficulty general respiratory uneasiness throat irritation,Upper Respiratory Tract Infection (URTI)
feeling lightheaded especially during activity chest discomfort Slow heartbeat fainting episodes fatigue shortness of breath,Heart Block
in severe cases paralysis of limbs or breathing muscles muscle weakness back or neck stiffness nausea fatigue sore throat,Polio (Poliomyelitis)
redness fluid discharge itching in the ear canal reduced hearing,Otitis Externa (Swimmer's Ear)
blurred or dim vision sudden difficulty focusing,Eye Stroke
difficulty concentrating daytime fatigue Difficulty falling asleep frequent waking at night low energy non-refreshing sleep,Insomnia
twitching or jerking of legs during rest strong urge to move legs Uncomfortable sensations in the legs symptoms worsening at night difficulty sleeping,Restless Legs Syndrome
in severe cases weakness in the legs muscle tightness pain radiating to the buttocks or legs numbness or tingling,Spondylolisthesis
light bleeding at the start or end of a period sometimes mild odor depending on the cause mild abdominal cramping spotting between periods Brown or dark vaginal discharge,Brown Discharge
A painless lump or swelling in one testicle back pain in advanced cases sudden fluid buildup in the scrotum dull ache in the lower abdomen or groin breast tenderness,Testicular Cancer
possible spreading to nearby skin pus-filled center swelling warmth Red,Boils on Skin
dark urine jaundice swelling in the abdomen vomiting upper abdominal pain loss of appetite nausea,Liver Cancer
difficulty concentrating hallucinations rapid changes in alertness Sudden confusion disorientation memory problems,Delirium
swelling in the abdomen dark urine nausea fatigue Unexplained weight loss vomiting,Liver Cancer
stiffness numbness or tingling Lower back pain,Spondylolisthesis
swelling in legs or ankles muscle cramps Fatigue difficulty concentrating loss of appetite high blood pressure reduced urine output foamy urine,Chronic Kidney Disease
daytime sleepiness Loud snoring poor concentration,Obstructive Sleep Apnoea (OSA)
pain during bowel movements or urination heavy periods fatigue bloating,Endometriosis
Visible or palpable bulge under the skin heaviness or pressure in the abdomen or groin pain or discomfort especially when bending or lifting swelling sharp pain during exertion,Hernia
pale skin shortness of breath on exertion weakness,Iron Deficiency Anemia
tenderness on the outer side of the elbow weakness in the forearm,Tennis Elbow
